mode,n_chunks,wall_time_ms,n_threads,trial,hostname
parallel,100000,22.943,32,26,localhost.localdomain
parallel,100000,22.845,32,27,localhost.localdomain
parallel,100000,22.817,32,28,localhost.localdomain
parallel,100000,22.825,32,29,localhost.localdomain
parallel,100000,23.082,32,30,localhost.localdomain
sequential,1000000,1279.087,1,1,localhost.localdomain
sequential,1000000,1277.100,1,2,localhost.localdomain
sequential,1000000,1281.599,1,3,localhost.localdomain
sequential,1000000,1283.514,1,4,localhost.localdomain
sequential,1000000,1278.122,1,5,localhost.localdomain
sequential,1000000,1280.089,1,6,localhost.localdomain
sequential,1000000,1277.349,1,7,localhost.localdomain
sequential,1000000,1283.454,1,8,localhost.localdomain
sequential,1000000,1277.501,1,9,localhost.localdomain
sequential,1000000,1282.227,1,10,localhost.localdomain
sequential,1000000,1279.859,1,11,localhost.localdomain
sequential,1000000,1279.461,1,12,localhost.localdomain
sequential,1000000,1277.434,1,13,localhost.localdomain
sequential,1000000,1278.978,1,14,localhost.localdomain
sequential,1000000,1290.944,1,15,localhost.localdomain
sequential,1000000,1282.178,1,16,localhost.localdomain
sequential,1000000,1278.349,1,17,localhost.localdomain
sequential,1000000,1281.512,1,18,localhost.localdomain
sequential,1000000,1280.384,1,19,localhost.localdomain
sequential,1000000,1278.009,1,20,localhost.localdomain
sequential,1000000,1279.635,1,21,localhost.localdomain
sequential,1000000,1280.867,1,22,localhost.localdomain
sequential,1000000,1284.372,1,23,localhost.localdomain
sequential,1000000,1285.226,1,24,localhost.localdomain
sequential,1000000,1277.286,1,25,localhost.localdomain
sequential,1000000,1277.469,1,26,localhost.localdomain
sequential,1000000,1278.048,1,27,localhost.localdomain
sequential,1000000,1278.007,1,28,localhost.localdomain
sequential,1000000,1279.572,1,29,localhost.localdomain
sequential,1000000,1279.840,1,30,localhost.localdomain
parallel,1000000,189.914,32,1,localhost.localdomain
parallel,1000000,188.465,32,2,localhost.localdomain
parallel,1000000,190.308,32,3,localhost.localdomain
parallel,1000000,188.373,32,4,localhost.localdomain
parallel,1000000,188.938,32,5,localhost.localdomain
parallel,1000000,188.257,32,6,localhost.localdomain
parallel,1000000,188.165,32,7,localhost.localdomain
parallel,1000000,189.469,32,8,localhost.localdomain
parallel,1000000,189.114,32,9,localhost.localdomain
parallel,1000000,189.254,32,10,localhost.localdomain
parallel,1000000,189.608,32,11,localhost.localdomain
parallel,1000000,188.798,32,12,localhost.localdomain
parallel,1000000,189.805,32,13,localhost.localdomain
parallel,1000000,188.423,32,14,localhost.localdomain
parallel,1000000,190.640,32,15,localhost.localdomain
parallel,1000000,188.813,32,16,localhost.localdomain
parallel,1000000,191.549,32,17,localhost.localdomain
parallel,1000000,190.247,32,18,localhost.localdomain
parallel,1000000,188.467,32,19,localhost.localdomain
parallel,1000000,189.009,32,20,localhost.localdomain
parallel,1000000,188.828,32,21,localhost.localdomain
parallel,1000000,188.903,32,22,localhost.localdomain
parallel,1000000,189.103,32,23,localhost.localdomain
parallel,1000000,190.643,32,24,localhost.localdomain
parallel,1000000,190.099,32,25,localhost.localdomain
parallel,1000000,188.579,32,26,localhost.localdomain
parallel,1000000,191.513,32,27,localhost.localdomain
parallel,1000000,188.520,32,28,localhost.localdomain
parallel,1000000,188.905,32,29,localhost.localdomain
parallel,1000000,188.997,32,30,localhost.localdomain
